District,Zone,Geographical Region,Development Region,Constituency,CandidateName,Gender,Age,PartyName
Taplejung,Mechi,Mountain,Eastern,1,सरस्वती  सुब्बा,म,37,मंगोल नेशनल अर्गनाइजेशन 
Taplejung,Mechi,Mountain,Eastern,1,लिला देवी बोखिम लिम्बु,म,48,नेपाली काँग्रेस
Taplejung,Mechi,Mountain,Eastern,1,राम चन्द्र परा लिम्बु,पु,26,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Taplejung,Mechi,Mountain,Eastern,1,सञ्चपाल  मादेन,पु,41,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Taplejung,Mechi,Mountain,Eastern,1,भुपेन्द्र  थेबे,पु,55,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Taplejung,Mechi,Mountain,Eastern,1,अमिर  मादेन,पु,50,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Taplejung,Mechi,Mountain,Eastern,1,सुवास  पालुङवा,पु,41,"सङ्घीय समाजवादी पार्टी, नेपाल"
Taplejung,Mechi,Mountain,Eastern,1,धन कुमार लिम्बु,पु,32,संघीय लिम्बुवान राज्य परिषद
Taplejung,Mechi,Mountain,Eastern,1,लक्ष्मी  विश्वकर्मा,पु,30,नेपाल परिवार दल 
Taplejung,Mechi,Mountain,Eastern,1,पदम प्रकाश एङदेन,पु,42,राष्ट्रिय जनमुक्ति पार्टी 
Taplejung,Mechi,Mountain,Eastern,1,चन्द्र  मादेन,पु,40,राष्ट्रिय प्रजातन्त्र पार्टी 
Taplejung,Mechi,Mountain,Eastern,2,जस बहादुर लिम्बु,पु,53,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Taplejung,Mechi,Mountain,Eastern,2,चन्द्र  मादेन,पु,40,राष्ट्रिय प्रजातन्त्र पार्टी 
Taplejung,Mechi,Mountain,Eastern,2,प्रताप प्रकाश हाङगाम,पु,60,नेपाली काँग्रेस
Taplejung,Mechi,Mountain,Eastern,2,डम्बरध्वज  तुम्बाहाम्फे,पु,55,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Taplejung,Mechi,Mountain,Eastern,2,योग राज लिम्बु वनेम,पु,41,"सङ्घीय समाजवादी पार्टी, नेपाल"
Taplejung,Mechi,Mountain,Eastern,2,इन्द्र प्रसाद थापा,पु,51,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Taplejung,Mechi,Mountain,Eastern,2,राज कुमार गुरुङ,पु,31,मंगोल नेशनल अर्गनाइजेशन 
Taplejung,Mechi,Mountain,Eastern,2,गजेन्द्र  लिम्बु,पु,25,संघीय लिम्बुवान राज्य परिषद
Taplejung,Mechi,Mountain,Eastern,2,केशव प्रकास प्रसाइ,पु,63,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Taplejung,Mechi,Mountain,Eastern,2,याम कुमार अाङबोहाङ,पु,35,राष्ट्रिय जनमुक्ति पार्टी 
Taplejung,Mechi,Mountain,Eastern,2,टंक  आङबोहाङ,पु,33,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Taplejung,Mechi,Mountain,Eastern,2,घनश्याम  सिटोला,पु,27,नेपाल परिवार दल 
Panchthar,Mechi,Hill,Eastern,1,पुण्य मायाँ घिमिरे (पोख्रेल),म,41,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Panchthar,Mechi,Hill,Eastern,1,प्रेम राज थाम्सुहाङ्ग,पु,51,राष्ट्रिय प्रजातन्त्र पार्टी 
Panchthar,Mechi,Hill,Eastern,1,नरेन्द्र कुमार केरुङ्ग,पु,41,नेपाली काँग्रेस
Panchthar,Mechi,Hill,Eastern,1,झलक मान थापा,पु,53,नेपाल परिवार दल 
Panchthar,Mechi,Hill,Eastern,1,छवि प्रसाद ढकाल,पु,36,जनयुनिटी को–अपरेटिभ पार्टी नेपाल 
Panchthar,Mechi,Hill,Eastern,1,गोविन्द बहादुर गुरुङ्ग,पु,47,नेपाल कम्युनिष्ट पार्टी
Panchthar,Mechi,Hill,Eastern,1,आइन्द्र कुमार केरुङ्ग,पु,38,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Panchthar,Mechi,Hill,Eastern,1,देउ कुमार राई,पु,28,मंगोल नेशनल अर्गनाइजेशन 
Panchthar,Mechi,Hill,Eastern,1,गणेश कुमार काम्बाङ्ग,पु,60,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Panchthar,Mechi,Hill,Eastern,1,राज भक्त योङया,पु,27,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Panchthar,Mechi,Hill,Eastern,1,मदन कुमार पोख्रेल,पु,41,अखण्ड नेपाल पार्टी
Panchthar,Mechi,Hill,Eastern,1,राजेन्द्र कुमार जवेगु,पु,58,"सङ्घीय समाजवादी पार्टी, नेपाल"
Panchthar,Mechi,Hill,Eastern,1,सुरेन्द्र प्रकाश जवेगु,पु,58,संघीय लिम्बुवान राज्य परिषद
Panchthar,Mechi,Hill,Eastern,1,तारा प्रसाद भट्टराई,पु,52,राष्ट्रिय स्वाभिमान पार्टी नेपाल 
Panchthar,Mechi,Hill,Eastern,1,अजय  नेम्बाङ्ग,पु,44,नेपाल कम्युनिष्ट पार्टी (संयुक्त)
Panchthar,Mechi,Hill,Eastern,1,यादव  राई,पु,29,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Panchthar,Mechi,Hill,Eastern,1,सगुन शुन्दर लावती,पु,42,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Panchthar,Mechi,Hill,Eastern,1,पुर्ण बहादुर लावती,पु,45,राष्ट्रिय जनमुक्ति पार्टी 
Panchthar,Mechi,Hill,Eastern,2,प्रवीन  नेम्बाङ,पु,42,"सङ्घीय समाजवादी पार्टी, नेपाल"
Panchthar,Mechi,Hill,Eastern,2,डम्बर सिं सम्बाहाम्फे,पु,50,नेपाल कम्यूनिष्ट पार्टी (ए. मा. ले)
Panchthar,Mechi,Hill,Eastern,2,हरि प्रसाद चापागाई,पु,33,नेपाल परिवार दल 
Panchthar,Mechi,Hill,Eastern,2,नारायण प्रसाद चापागाई,पु,38,नेपाल कम्युनिष्ट पार्टी
Panchthar,Mechi,Hill,Eastern,2,महेन्द्र प्रसाद सुवार,पु,32,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी–लेनिनवादी)
Panchthar,Mechi,Hill,Eastern,2,डम्बर सिं नेम्बाङ,पु,49,लिम्बुवान मुक्ति मोर्चा 
Panchthar,Mechi,Hill,Eastern,2,सिंह राज नेम्बाङ,पु,47,संघीय लिम्बुवान राज्य परिषद
Panchthar,Mechi,Hill,Eastern,2,स‌ंजित कुमार राई,पु,41,"संघीय गणतान्त्रिक समाजवादी पार्टी, नेपाल"
Panchthar,Mechi,Hill,Eastern,2,पदम सुन्दर लावती,पु,75,राष्ट्रिय प्रजातन्त्र पार्टी नेपाल 
Panchthar,Mechi,Hill,Eastern,2,भगी रथ लिम्बु,पु,47,राष्ट्रिय जनमुक्ति पार्टी 
Panchthar,Mechi,Hill,Eastern,2,ऐत राज सम्बाहाम्फे,पु,44,राष्ट्रिय प्रजातन्त्र पार्टी 
Panchthar,Mechi,Hill,Eastern,2,दुर्गा प्रसाद न्यौपाने,पु,47,जनयुनिटी को–अपरेटिभ पार्टी नेपाल 
Panchthar,Mechi,Hill,Eastern,2,दिनेश कुमार लावती,पु,48,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Panchthar,Mechi,Hill,Eastern,2,ऋतु बर्ण बास्कोटा,पु,33,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
Panchthar,Mechi,Hill,Eastern,2,भीष्म राज आङदेम्बे,पु,49,नेपाली काँग्रेस
Panchthar,Mechi,Hill,Eastern,2,राम कुमार तुम्रोक,पु,35,मंगोल नेशनल अर्गनाइजेशन 
Ilam,Mechi,Hill,Eastern,1,भक्त कुमारी गदाल,म,74,राष्ट्रिय प्रजातन्त्र पार्टी 
Ilam,Mechi,Hill,Eastern,1,युब कुमार पौडेल,पु,37,एकीकृत नेपाल कम्युनिष्ट पार्टी (माओवादी)
Ilam,Mechi,Hill,Eastern,1,केसाङ  योल्मु,पु,29,"मधेशी जनअधिकार फोरम, नेपाल(लोकतान्त्रिक)"
